model,benchmark,task,metric_semantics,score,stderr,n_scored,ci_method,ci_lower,ci_upper,ci_width,wide_ci_over_0_30,score_source,repo_commit_sha,independent_n_for_width_le_0_20,additional_independent_items
gpt-5.4,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8740632611524474,0.0631466914260739,20,normal 95% from saved stderr,0.7502980202144783,0.9978285020904164,0.24753048187593807,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4,MoralBench,moralbench_vignette_agreement,normalized_preference,0.92001887001887,0.0288015300320875,24,normal 95% from saved stderr,0.8635689084563297,0.9764688315814102,0.11289992312508046,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4,MoralBench,moralbench_mfq_compare,accuracy,0.4,0.1123902973898032,20,Wilson 95%,0.21880653237281705,0.6134184992377469,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89,69
gpt-5.4,MoralBench,moralbench_vignette_compare,accuracy,0.625,0.100946606635906,24,Wilson 95%,0.42709962442674276,0.7884063244045122,0.36130669997776943,True,archive,b3a348684692f615d789392692ce34a1359192d3,87,63
gpt-5.4,UniMoral,unimoral_action_prediction,accuracy,0.6487932604735883,0.0050934628650238,8784,Wilson 95%,0.6387477525902324,0.658708683355847,0.01996093076561456,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4,UniMoral,unimoral_moral_typology,accuracy,0.6497709049255441,0.0080738619056882,3492,Wilson 95%,0.6337919535427755,0.6654207002120843,0.031628746669308816,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4,UniMoral,unimoral_factor_attribution,accuracy,0.5710194730813287,0.0083766298335576,3492,Wilson 95%,0.5545347265234095,0.5873481379722028,0.03281341144879324,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4,UniMoral,unimoral_consequence_generation,meteor,0.1436280186441612,0.0029686596766379,1782,normal 95% from saved stderr,0.13780955259559458,0.1494464846927278,0.011636932097133235,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8839311688171986,0.0491369885225712,20,normal 95% from saved stderr,0.787624441004201,0.9802378966301961,0.19261345562599508,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,MoralBench,moralbench_vignette_agreement,normalized_preference,0.917094017094017,0.029628310932578,24,normal 95% from saved stderr,0.8590235947434098,0.9751644394446243,0.11614084470121444,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,MoralBench,moralbench_mfq_compare,accuracy,0.4,0.1123902973898032,20,Wilson 95%,0.21880653237281705,0.6134184992377469,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89,69
gpt-5.4-mini,MoralBench,moralbench_vignette_compare,accuracy,0.4583333333333333,0.1038945721662294,24,Wilson 95%,0.2789133373121099,0.6492513464108051,0.3703380090986952,True,archive,b3a348684692f615d789392692ce34a1359192d3,92,68
gpt-5.4-mini,UniMoral,unimoral_action_prediction,accuracy,0.6288706739526412,0.0051549192488478,8784,Wilson 95%,0.6187135106338814,0.6389151699253858,0.020201659291504415,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,UniMoral,unimoral_moral_typology,accuracy,0.6156930126002291,0.0082327765551352,3492,Wilson 95%,0.5994406122318008,0.6316911508981482,0.03225053866634742,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,UniMoral,unimoral_factor_attribution,accuracy,0.5609965635738832,0.0083992234645394,3492,Wilson 95%,0.5444786278752959,0.5773804452600485,0.03290181738475262,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gpt-5.4-mini,UniMoral,unimoral_consequence_generation,meteor,0.1196209997591811,0.003146926336918,1782,normal 95% from saved stderr,0.11345313747682126,0.12578886204154094,0.01233572456471968,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-8b,MoralBench,moralbench_mfq_agreement,normalized_preference,0.7775766275777112,0.0644521192774797,20,normal 95% from saved stderr,0.6512527950665712,0.9039004600888512,0.25264766502228,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-8b,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8952686202686202,0.0492870953308711,24,normal 95% from saved stderr,0.7986676885175206,0.9918695520197198,0.19320186350219926,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-8b,MoralBench,moralbench_mfq_compare,accuracy,0.55,0.1141328865379023,20,Wilson 95%,0.34208534245034233,0.7418021417443759,0.39971679929403353,True,archive,b3a348684692f615d789392692ce34a1359192d3,92,72
qwen3-8b,MoralBench,moralbench_vignette_compare,accuracy,0.5,0.1042572070285374,24,Wilson 95%,0.3142742581957335,0.6857257418042665,0.371451483608533,True,archive,b3a348684692f615d789392692ce34a1359192d3,93,69
qwen3-8b,UniMoral,unimoral_action_prediction,accuracy,0.6516393442622951,0.0050838971657439,8784,Wilson 95%,0.6416113269219654,0.6615347883650873,0.019923461443121848,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-8b,UniMoral,unimoral_moral_typology,accuracy,0.5947880870561283,0.0083089722543344,3492,Wilson 95%,0.5784095888380849,0.610958266597591,0.032548677759506095,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-8b,UniMoral,unimoral_factor_attribution,accuracy,0.6071019473081328,0.008266008103631,3492,Wilson 95%,0.5907939732335896,0.6231745401589868,0.03238056692539715,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
